"STATISTIC","Statistic","TLIST(D1)","Date","C02196V02652","County","UNIT","VALUE"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","-","State","%","56.6"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE1101","Cavan","%","48.6"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE1102","Donegal","%","47.6"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE1103","Leitrim","%","46.3"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE1104","Louth","%","60.3"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE1105","Monaghan","%","50.2"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE1106","Sligo","%","48.4"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE1201","Laois","%","48.3"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE1202","Longford","%","49.3"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE1203","Offaly","%","47"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE1204","Westmeath","%","54.2"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE1303","Mayo","%","45.6"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE1304","Roscommon","%","45.7"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE21","Dublin","%","69.8"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE2201","Kildare","%","49.5"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE2202","Meath","%","51.1"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE2203","Wicklow","%","51.2"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE2301","Clare","%","49.2"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE2401","Carlow","%","44.8"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE2402","Kilkenny","%","51.7"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE05122","Tipperary","%","47.9"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE2406","Wexford","%","50.8"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE2503","Kerry","%","51.6"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE05316","Cork","%","55"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE04225","Galway","%","49.5"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE05118","Limerick","%","55.8"
"SLI01C01","Staying Local Indicator","2020M01D08","2020 January 08","IE05225","Waterford","%","58.8"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","-","State","%","56.5"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE1101","Cavan","%","47.9"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE1102","Donegal","%","47.2"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE1103","Leitrim","%","45.9"
"SLI01C01","Staying Local Indicator","2020M01D09","2020 January 09","IE1104","Louth","%","59.9"
