"Statistic","Date","County","UNIT","VALUE"
"Staying Local Indicator","2020 January 16","Limerick","%","56.6"
"Staying Local Indicator","2020 January 16","Waterford","%","59.3"
"Staying Local Indicator","2020 January 17","State","%","57"
"Staying Local Indicator","2020 January 17","Cavan","%","47.7"
"Staying Local Indicator","2020 January 17","Donegal","%","47"
"Staying Local Indicator","2020 January 17","Leitrim","%","45"
"Staying Local Indicator","2020 January 17","Louth","%","59.7"
"Staying Local Indicator","2020 January 17","Monaghan","%","49.3"
"Staying Local Indicator","2020 January 17","Sligo","%","48.5"
"Staying Local Indicator","2020 January 17","Laois","%","47.7"
"Staying Local Indicator","2020 January 17","Longford","%","48.8"
"Staying Local Indicator","2020 January 17","Offaly","%","46.8"
"Staying Local Indicator","2020 January 17","Westmeath","%","54.7"
"Staying Local Indicator","2020 January 17","Mayo","%","45.8"
"Staying Local Indicator","2020 January 17","Roscommon","%","46"
"Staying Local Indicator","2020 January 17","Dublin","%","71.1"
"Staying Local Indicator","2020 January 17","Kildare","%","49.5"
"Staying Local Indicator","2020 January 17","Meath","%","50"
"Staying Local Indicator","2020 January 17","Wicklow","%","50.2"
"Staying Local Indicator","2020 January 17","Clare","%","48.9"
"Staying Local Indicator","2020 January 17","Carlow","%","44.7"
"Staying Local Indicator","2020 January 17","Kilkenny","%","51.2"
"Staying Local Indicator","2020 January 17","Tipperary","%","47.6"
"Staying Local Indicator","2020 January 17","Wexford","%","49.9"
"Staying Local Indicator","2020 January 17","Kerry","%","52.5"
"Staying Local Indicator","2020 January 17","Cork","%","56"
"Staying Local Indicator","2020 January 17","Galway","%","51.5"
"Staying Local Indicator","2020 January 17","Limerick","%","56.7"
"Staying Local Indicator","2020 January 17","Waterford","%","59.3"
"Staying Local Indicator","2020 January 18","State","%","56.9"
"Staying Local Indicator","2020 January 18","Cavan","%","47.7"
"Staying Local Indicator","2020 January 18","Donegal","%","46.9"
"Staying Local Indicator","2020 January 18","Leitrim","%","45"
"Staying Local Indicator","2020 January 18","Louth","%","59.6"
"Staying Local Indicator","2020 January 18","Monaghan","%","49.3"
"Staying Local Indicator","2020 January 18","Sligo","%","48.5"
"Staying Local Indicator","2020 January 18","Laois","%","47.6"
"Staying Local Indicator","2020 January 18","Longford","%","48.5"
